algorithm,array_length,time
plain,128,6.37152e-06
plain,256,7.63448e-06
plain,512,1.04341e-05
plain,1024,1.63961e-05
plain,2048,2.73102e-05
plain,4096,5.0716e-05
plain,8192,9.55723e-05
plain,16384,0.000181902
auto,128,6.04066e-06
auto,256,7.57616e-06
auto,512,9.37392e-06
auto,1024,1.27105e-05
auto,2048,1.73864e-05
auto,4096,2.63709e-05
auto,8192,4.09335e-05
auto,16384,7.17157e-05
avx,128,1.2828e-06
avx,256,1.93246e-06
avx,512,3.31542e-06
avx,1024,6.77928e-06
avx,2048,1.18669e-05
avx,4096,2.32547e-05
avx,8192,4.37237e-05
avx,16384,8.51509e-05
